Date,price
7/22/2016,55
7/25/2016,55
7/26/2016,55
7/27/2016,55
7/28/2016,55
7/29/2016,55
8/1/2016,55
8/2/2016,54
8/3/2016,53
8/4/2016,53
8/5/2016,53
8/8/2016,53
8/9/2016,53
8/10/2016,53
8/11/2016,53
8/12/2016,53
8/15/2016,53
8/16/2016,53
8/17/2016,53
8/18/2016,53
8/19/2016,52
8/22/2016,53
8/23/2016,54
8/24/2016,55
8/25/2016,55
8/26/2016,55
8/29/2016,54
8/30/2016,54
8/31/2016,54
9/1/2016,54
9/2/2016,54
9/6/2016,54
9/7/2016,54
9/8/2016,53
9/9/2016,52
9/12/2016,52
9/13/2016,52
9/14/2016,51
9/15/2016,52
9/16/2016,51
9/19/2016,51
9/20/2016,51
9/21/2016,52
9/22/2016,52
9/23/2016,52
9/26/2016,52
9/27/2016,52
9/28/2016,52
9/29/2016,51
9/30/2016,52
10/3/2016,51
10/4/2016,51
10/5/2016,51
10/6/2016,51
10/7/2016,51
10/10/2016,51
10/11/2016,51
10/12/2016,51
10/13/2016,51
10/14/2016,51
10/17/2016,50
10/18/2016,50
10/19/2016,51
10/20/2016,51
10/21/2016,51
10/24/2016,52
10/25/2016,51
10/26/2016,51
10/27/2016,51
10/28/2016,51
10/31/2016,51
11/1/2016,50
11/2/2016,51
11/3/2016,49
11/4/2016,50
11/7/2016,52
11/8/2016,52
11/9/2016,52
11/10/2016,51
11/11/2016,52
11/14/2016,52
11/15/2016,52
11/16/2016,53
11/17/2016,54
11/18/2016,54
11/21/2016,54
11/22/2016,55
11/23/2016,55
11/25/2016,55
11/28/2016,55
11/29/2016,56
11/30/2016,56
12/1/2016,56
12/2/2016,55
12/5/2016,55
12/6/2016,55
12/7/2016,56
12/8/2016,56
12/9/2016,56
12/12/2016,56
12/13/2016,57
12/14/2016,56
12/15/2016,55
12/16/2016,55
12/19/2016,55
12/20/2016,55
12/21/2016,55
12/22/2016,55
12/23/2016,55
12/27/2016,55
12/28/2016,54
12/29/2016,54
12/30/2016,53
1/3/2017,53
1/4/2017,54
1/5/2017,54
1/6/2017,55
1/9/2017,56
1/10/2017,56
1/11/2017,56
1/12/2017,56
1/13/2017,56
1/17/2017,56
1/18/2017,56
1/19/2017,56
1/20/2017,55
1/23/2017,55
1/24/2017,56
1/25/2017,56
1/26/2017,56
1/27/2017,54
1/30/2017,54
1/31/2017,53
2/1/2017,52
2/2/2017,52
2/3/2017,53
2/6/2017,53
2/7/2017,53
2/8/2017,53
2/9/2017,54
2/10/2017,54
2/13/2017,54
2/14/2017,55
2/15/2017,55
2/16/2017,55
2/17/2017,55
2/21/2017,55
2/22/2017,55
2/23/2017,56
2/24/2017,55
2/27/2017,55
2/28/2017,55
3/1/2017,55
3/2/2017,55
3/3/2017,55
3/6/2017,55
3/7/2017,54
3/8/2017,54
3/9/2017,53
3/10/2017,53
3/13/2017,53
3/14/2017,52
3/15/2017,53
3/16/2017,53
3/17/2017,54
3/20/2017,54
3/21/2017,54
3/22/2017,54
3/23/2017,54
3/24/2017,55
3/27/2017,55
3/28/2017,55
3/29/2017,55
3/30/2017,56
3/31/2017,56
4/3/2017,56
4/4/2017,56
4/5/2017,56
4/6/2017,56
4/7/2017,56
4/10/2017,56
4/11/2017,56
4/12/2017,55
4/13/2017,55
4/17/2017,56
4/18/2017,56
4/19/2017,57
4/20/2017,58
4/21/2017,58
4/24/2017,59
4/25/2017,59
4/26/2017,59
4/27/2017,59
4/28/2017,58
5/1/2017,58
5/2/2017,58
5/3/2017,58
5/4/2017,59
5/5/2017,59
5/8/2017,59
5/9/2017,59
5/10/2017,59
5/11/2017,58
5/12/2017,58
5/15/2017,59
5/16/2017,58
5/17/2017,58
5/18/2017,58
5/19/2017,59
5/22/2017,59
5/23/2017,59
5/24/2017,60
5/25/2017,61
5/26/2017,61
5/30/2017,61
5/31/2017,62
6/1/2017,62
6/2/2017,62
6/5/2017,62
6/6/2017,62
6/7/2017,61
6/8/2017,60
6/9/2017,60
6/12/2017,59
6/13/2017,59
6/14/2017,58
6/15/2017,58
6/16/2017,58
6/19/2017,59
6/20/2017,58
6/21/2017,58
6/22/2017,58
6/23/2017,58
6/26/2017,58
6/27/2017,57
